old_url,old_path,new_path,redirect_type,notes
https://donau-ries-haustechnik.de/ph_aktionsflaeche/,/ph_aktionsflaeche/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/ph_jobs/,/ph_jobs/,/jobs/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/ph_kampagne/,/ph_kampagne/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/ph_news/,/ph_news/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/ph_slides/,/ph_slides/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/regen-und-grauwassernutzung/,/regen-und-grauwassernutzung/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/sanitaeranlagen/,/sanitaeranlagen/,/leistungen-gewerbekunden/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/solar/,/solar/,/solar/,keep 200,Indexable public page
https://donau-ries-haustechnik.de/staubsaugeranlage/,/staubsaugeranlage/,/leistungen-gewerbekunden/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/unsere-partner/,/unsere-partner/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/unternehmen/,/unternehmen/,/unternehmen/,keep 200,Indexable public page
https://donau-ries-haustechnik.de/waermepumpe/,/waermepumpe/,/heizung/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/wand-und-fussbodenheizung/,/wand-und-fussbodenheizung/,/heizung/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/author/admin/,/author/admin/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/bad/,/category/bad/,/bad/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/gasvertrieb/,/category/gasvertrieb/,/heizung/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/haustechnik/,/category/haustechnik/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/heizsysteme/,/category/heizsysteme/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/heizung/,/category/heizung/,/heizung/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/kaeltetechnik/,/category/kaeltetechnik/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/kueche/,/category/kueche/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/lueftung/,/category/lueftung/,/lueftung/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/sanitaer/,/category/sanitaer/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/sanitaeranlagen/,/category/sanitaeranlagen/,/leistungen-gewerbekunden/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/waerme/,/category/waerme/,/,301,Map to closest relevant static page before launch
https://donau-ries-haustechnik.de/category/wasser/,/category/wasser/,/,301,Map to closest relevant static page before launch
